pair_id,pass,latency_ms
e1-q147-hal,1,3.261
e1-q148-gt,1,2.754
e1-q148-hal,1,3.169
e1-q149-gt,1,3.684
e1-q149-hal,1,2.69
e1-q150-gt,1,2.016
e1-q150-hal,1,1.866
e1-q151-gt,1,2.785
e1-q151-hal,1,3.665
e1-q152-gt,1,1.275
e1-q152-hal,1,1.039
e1-q153-gt,1,4.101
e1-q153-hal,1,3.282
e1-q154-gt,1,2.461
e1-q154-hal,1,1.665
e1-q155-gt,1,3.966
e1-q155-hal,1,2.663
e1-q156-gt,1,3.813
e1-q156-hal,1,2.591
e1-q157-gt,1,2.295
e1-q157-hal,1,1.955
e1-q158-gt,1,3.252
e1-q158-hal,1,3.001
e1-q159-gt,1,2.526
e1-q159-hal,1,2.558
e1-q160-gt,1,3.072
e1-q160-hal,1,2.404
e1-q161-gt,1,3.078
e1-q161-hal,1,3.548
e1-q162-gt,1,2.753
e1-q162-hal,1,1.67
e1-q163-gt,1,2.485
e1-q163-hal,1,1.74
e1-q164-gt,1,3.255
e1-q164-hal,1,4.015
e1-q165-gt,1,2.827
e1-q165-hal,1,2.485
e1-q166-gt,1,1.851
e1-q166-hal,1,1.835
e1-q167-gt,1,0.971
e1-q167-hal,1,1.129
e1-q168-gt,1,3.057
e1-q168-hal,1,2.168
e1-q169-gt,1,3.518
e1-q169-hal,1,4.134
e1-q170-gt,1,3.516
e1-q170-hal,1,1.976
e1-q171-gt,1,3.185
e1-q171-hal,1,2.478
e1-q172-gt,1,2.037
e1-q172-hal,1,1.755
e1-q173-gt,1,2.417
e1-q173-hal,1,2.142
e1-q174-gt,1,3.365
e1-q174-hal,1,2.142
e1-q175-gt,1,2.311
e1-q175-hal,1,1.827
e1-q176-gt,1,3.392
e1-q176-hal,1,2.499
e1-q177-gt,1,3.145
e1-q177-hal,1,1.901
e1-q178-gt,1,2.717
e1-q178-hal,1,2.005
e1-q179-gt,1,3.336
e1-q179-hal,1,2.514
e1-q180-gt,1,2.168
e1-q180-hal,1,5.494
e1-q181-gt,1,2.409
e1-q181-hal,1,1.862
e1-q182-gt,1,3.778
e1-q182-hal,1,3.266
e1-q183-gt,1,2.544
e1-q183-hal,1,2.147
e1-q184-gt,1,1.675
e1-q184-hal,1,1.622
e1-q185-gt,1,2.046
e1-q185-hal,1,2.854
e1-q186-gt,1,2.683
e1-q186-hal,1,2.056
e1-q187-gt,1,2.826
e1-q187-hal,1,2.34
e1-q188-gt,1,3.085
e1-q188-hal,1,2.972
e1-q189-gt,1,1.965
e1-q189-hal,1,1.713
e1-q190-gt,1,2.174
e1-q190-hal,1,1.918
e1-q191-gt,1,1.71
e1-q191-hal,1,1.672
e1-q192-gt,1,3.662
e1-q192-hal,1,3.206
e1-q193-gt,1,3.731
e1-q193-hal,1,3.92
e1-q194-gt,1,5.244
e1-q194-hal,1,1.897
e1-q195-gt,1,1.512
e1-q195-hal,1,2.725
e1-q196-gt,1,1.533
e1-q196-hal,1,1.361
e1-q197-gt,1,2.516
e1-q197-hal,1,2.407
e1-q198-gt,1,2.415
e1-q198-hal,1,2.252
e1-q199-gt,1,3.022
e1-q199-hal,1,2.638
e1-q200-gt,1,2.751
e1-q200-hal,1,2.02
e1-q201-gt,1,1.325
e1-q201-hal,1,1.512
e1-q202-gt,1,2.204
e1-q202-hal,1,1.594
e1-q203-gt,1,2.508
e1-q203-hal,1,2.193
e1-q204-gt,1,2.214
e1-q204-hal,1,1.111
e1-q205-gt,1,3.854
e1-q205-hal,1,3.508
e1-q206-gt,1,1.832
e1-q206-hal,1,1.592
e1-q207-gt,1,2.159
